Região,Área,Pagamento,Opinião,Renda,Idade
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.08,28
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,7.99,44
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,5.38,35
Baependinha,Engenharia e Produção,Incentivos federais,Satisfeito,1.78,33
Itamaracanã,Administração,Financiamento bancário,Muito satisfeito,1.07,25
Itamaracanã,Educacional,Financiamento bancário,Muito satisfeito,1.05,26
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.79,36
Aratibutantã,Jurídica e Contábil,Recursos próprios,Insatisfeito,2.29,38
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.75,33
Itamaracanã,Humanidades,Financiamento bancário,Muito satisfeito,1.31,26
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.06,26
Aratibutantã,Engen ,Recursos próprios,Indiferente,3.14,34
Aratibutantã,Administração,Recursos próprios,Satisfeito,1.31,28
Baependinha,Educacional,Financiamento bancário,Muito satisfeito,1.48,27
Itamaracanã,Engenhar ,Financiamento bancário,Muito satisfeito,1.11,21
Baependinha,Computação e Matemática,Financiamento bancário,Satisfeito,2.09,39
Aratibutantã,Jurídica e Contábil,Recursos próprios,Indiferente,2.48,34
Baependinha,Humanidades,Financiamento bancário,Muito satisfeito,1.32,25
Baependinha,Jurídica e Contábil,Financiamento bancário,Insatisfeito,2.82,37
Paranapitanga,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,12.42,40
Baependinha,Administração,Recursos próprios,Satisfeito,1.49,30
Aratibutantã,Jurídica e Contábil,Recursos próprios,Insatisfeito,2.8,33
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.3,42
Aratibutantã,Jurídica e Contábil,Incentivos federais,Insatisfeito,2.95,32
Baepen ,Humanidades,Recursos próprios,Muito satisfeito,1.47,31
Aratibutantã,Engenharia e Produção,Financiamento bancário,Indiferente,2.19,40
Baependinha,Jurídica e Contábil,Recursos próprios,Insatisfeito,2.65,33
Itamaracanã,Administração,Recursos próprios,Muito satisfeito,1.35,33
Aratibutantã,Engenharia e Produção,Recursos próprios,Indiferente,2.15,31
Aratibutantã,Jurídica e Contábil,Auxílio de familiares,Insatisfeito,4.04,39
Aratibut ,Humanidades,Incentivos federais,Indiferente,2.36,31
Baependinha,Computação e Matemática,Recursos próprios,Satisfeito,1.54,23
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.14,33
Baependinha,Engenharia e Produção,Incentivos federais,Insatisfeito,3.45,38
Aratibutantã,Jurídica e Contábil,Incentivos federais,Indiferente,1.68,34
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.38,30
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.73,26
Itamaracanã,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.31,27
Jaquereçaba,Jurídica e Contábil,Incen ,Muito insatisfeito,4.94,34
Aratibutantã,Jurídica e Contábil,Bolsas de estudo,Muito insatisfeito,5.28,37
Aratibutantã,Jurídica e Contábil,Financiamento bancário,Indiferente,2.09,30
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.5,35
Baependinha,Jurídica e Contábil,Financiamento bancário,Satisfeito,1.63,30
Aratibutantã,Jurídica e Contábil,Recursos próprios,Satisfeito,1.44,27
Baependinha,Jurídica e Contábil,Incentivos federais,Insatisfeito,3.45,40
Baependinha,Educacional,Financiamento bancário,Satisfeito,1.43,27
Jaquereçaba,Jurídica e Contábil,Incentivos federais,Muito insatisfeito,4.6,36
Baependinha,Engenharia e Produção,Financiamento bancário,Muito satisfeito,1.32,30
Aratibutantã,Jurídica e Contábil,Auxílio de familiares,Insatisfeito,5.86,33
