"u","beta.b","beta.d"
17,0.999999999999217,1
17.5,0.999999999983734,1
18,0.999999999718822,1
18.5,0.999999995952333,1
19,0.999999951457615,1
19.5,0.999999514784448,1
20,0.999995955057473,1
20.5,0.999971854771508,1
21,0.999836365903906,0.999999999999999
21.5,0.999203970522594,0.999999999999662
22,0.996753767897345,0.99999999991262
22.5,0.988874885644691,0.9999999879551
23,0.967851931969028,0.99999911185489
23.5,0.921314498750994,0.999964790959893
24,0.835867010060557,0.999243845034578
24.5,0.7057637125629,0.991097937056048
25,0.541527655419805,0.941435173104317
25.5,0.369683790222936,0.777601729466138
26,0.220688010489222,0.484530750839588
26.5,0.113666165378588,0.199956637491696
27,0.05,0.05
27,0.05,0.05
27.5,0.113666165378588,0.199956637491696
28,0.220688010489222,0.484530750839588
28.5,0.369683790222936,0.777601729466138
29,0.541527655419805,0.941435173104317
29.5,0.7057637125629,0.991097937056048
30,0.835867010060557,0.999243845034578
30.5,0.921314498750994,0.999964790959893
31,0.967851931969028,0.99999911185489
31.5,0.988874885644691,0.9999999879551
32,0.996753767897345,0.99999999991262
32.5,0.999203970522594,0.999999999999662
33,0.999836365903906,0.999999999999999
33.5,0.999971854771508,1
34,0.999995955057473,1
34.5,0.999999514784448,1
35,0.999999951457615,1
35.5,0.999999995952333,1
36,0.999999999718822,1
36.5,0.999999999983734,1
37,0.999999999999217,1
